true_freq,matched_freq,difference,within_tolerance
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
30000,1,29999,False
29933,1,29932,False
28876,1,28875,False
28867,1,28866,False
27709,1,27708,False
22861,1,22860,False
22707,1,22706,False
22678,1,22677,False
20611,1,20610,False
19865,1,19864,False
16055,1,16054,False
14957,1,14956,False
14787,1,14786,False
13979,1,13978,False
13482,1,13481,False
13166,1,13165,False
12833,1,12832,False
12304,1,12303,False
12178,1,12177,False
9933,1,9932,False
9630,1,9629,False
9620,1,9619,False
9617,1,9616,False
9378,1,9377,False
9277,1,9276,False
9077,1,9076,False
8919,1,8918,False
8863,1,8862,False
8671,1,8670,False
8059,1,8058,False
8005,1,8004,False
7964,1,7963,False
